epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4486,1.31308,4.25725,1.54479,0.24488,0.10838,0.06009,0.04069,1.22961,3.40633,1.47285,0.000100205,0.000100205,0.000100205
2,48.8754,1.26598,3.52971,1.49606,0.2072,0.26107,0.17152,0.12235,1.2816,2.82217,1.54685,0.000199213,0.000199213,0.000199213
3,70.2141,1.29921,3.16486,1.51209,0.2143,0.34478,0.22455,0.14912,1.32242,2.68538,1.54571,0.000296221,0.000296221,0.000296221
4,91.3262,1.27823,2.9731,1.50709,0.28709,0.3581,0.28254,0.19071,1.31582,2.30289,1.54719,0.000294001,0.000294001,0.000294001
5,112.432,1.2814,2.75981,1.49436,0.29971,0.40494,0.30988,0.20734,1.27792,2.15112,1.50922,0.000291001,0.000291001,0.000291001
6,133.772,1.26163,2.62105,1.46312,0.27733,0.41717,0.31145,0.21334,1.2605,2.11862,1.48589,0.000288001,0.000288001,0.000288001
7,155.068,1.25005,2.53515,1.47335,0.33554,0.39843,0.34842,0.23966,1.26395,2.12826,1.49536,0.000285002,0.000285002,0.000285002
8,176.423,1.2478,2.43919,1.45317,0.3195,0.48139,0.38465,0.25892,1.23746,1.98597,1.45539,0.000282002,0.000282002,0.000282002
9,197.57,1.2242,2.33003,1.43152,0.44615,0.41389,0.36251,0.23479,1.2511,2.06922,1.47424,0.000279002,0.000279002,0.000279002
10,218.854,1.21662,2.26974,1.42025,0.37196,0.42237,0.38283,0.25222,1.2592,1.94467,1.45207,0.000276003,0.000276003,0.000276003
11,240.099,1.20456,2.17004,1.40926,0.33569,0.46333,0.40052,0.27502,1.24685,1.92791,1.46042,0.000273003,0.000273003,0.000273003
12,261.415,1.20626,2.17345,1.41351,0.32916,0.45136,0.38198,0.25894,1.23804,1.89508,1.45063,0.000270003,0.000270003,0.000270003
13,282.549,1.18255,2.08978,1.40508,0.4254,0.46417,0.44075,0.30126,1.21962,1.88518,1.42929,0.000267004,0.000267004,0.000267004
14,304.088,1.1677,2.03508,1.39135,0.32941,0.54484,0.43323,0.29339,1.22093,1.80697,1.42902,0.000264004,0.000264004,0.000264004
15,325.329,1.17415,2.0116,1.38646,0.46756,0.46966,0.47014,0.31859,1.2505,1.75348,1.42618,0.000261004,0.000261004,0.000261004
16,346.519,1.14946,1.93698,1.3698,0.48136,0.44647,0.46765,0.32299,1.22227,1.72904,1.41258,0.000258004,0.000258004,0.000258004
17,367.768,1.18259,1.92941,1.37283,0.40824,0.50467,0.45128,0.31021,1.225,1.74747,1.41828,0.000255005,0.000255005,0.000255005
18,388.911,1.14809,1.86524,1.36021,0.41964,0.57049,0.50068,0.3533,1.21048,1.67658,1.40342,0.000252005,0.000252005,0.000252005
19,410.189,1.1477,1.83014,1.36157,0.41193,0.43856,0.42413,0.28716,1.22792,1.81928,1.42142,0.000249005,0.000249005,0.000249005
20,431.282,1.14483,1.81735,1.36143,0.5486,0.44136,0.46187,0.32218,1.22162,1.74693,1.41677,0.000246006,0.000246006,0.000246006
21,452.422,1.12736,1.78841,1.3502,0.50471,0.4629,0.48389,0.33912,1.21064,1.6705,1.40974,0.000243006,0.000243006,0.000243006
22,473.49,1.14049,1.77152,1.35155,0.50198,0.44286,0.47311,0.32233,1.22062,1.77937,1.41851,0.000240006,0.000240006,0.000240006
23,494.695,1.13654,1.71748,1.34559,0.41031,0.51455,0.48247,0.3401,1.18399,1.67755,1.36674,0.000237007,0.000237007,0.000237007
24,515.766,1.13424,1.70412,1.33942,0.41951,0.47669,0.45022,0.31567,1.20924,1.65445,1.40778,0.000234007,0.000234007,0.000234007
25,536.874,1.10134,1.63206,1.31589,0.42397,0.48982,0.47448,0.3323,1.20747,1.65464,1.39523,0.000231007,0.000231007,0.000231007
26,557.952,1.11036,1.6594,1.33082,0.50861,0.45814,0.49003,0.33815,1.20242,1.62456,1.39259,0.000228007,0.000228007,0.000228007
27,579.089,1.12248,1.6149,1.33224,0.48025,0.4801,0.49846,0.34206,1.215,1.59913,1.3942,0.000225008,0.000225008,0.000225008
28,600.245,1.10214,1.6017,1.31915,0.43671,0.46177,0.47567,0.32845,1.22859,1.6424,1.40896,0.000222008,0.000222008,0.000222008
29,621.31,1.11306,1.57022,1.32598,0.49932,0.46215,0.49418,0.34415,1.20599,1.68739,1.38767,0.000219008,0.000219008,0.000219008
30,642.543,1.08531,1.53283,1.31181,0.49316,0.49871,0.52419,0.36792,1.17925,1.67012,1.36696,0.000216009,0.000216009,0.000216009
31,663.672,1.09684,1.5485,1.31746,0.44503,0.53963,0.49877,0.34773,1.18758,1.60827,1.37959,0.000213009,0.000213009,0.000213009
32,684.925,1.08806,1.50022,1.30615,0.41779,0.50662,0.47668,0.33336,1.18887,1.68397,1.37482,0.000210009,0.000210009,0.000210009
33,706.002,1.09865,1.50625,1.30571,0.50038,0.48115,0.51727,0.35574,1.20127,1.61249,1.38993,0.00020701,0.00020701,0.00020701
34,727.227,1.0878,1.49327,1.31075,0.46667,0.46766,0.49897,0.35363,1.18921,1.5892,1.38467,0.00020401,0.00020401,0.00020401
35,748.319,1.07565,1.44449,1.29499,0.49269,0.4484,0.48237,0.33419,1.19961,1.63041,1.38205,0.00020101,0.00020101,0.00020101
36,769.408,1.07426,1.45736,1.30604,0.44706,0.4905,0.48774,0.34118,1.20032,1.64185,1.38103,0.00019801,0.00019801,0.00019801
37,790.578,1.07271,1.42547,1.28959,0.46811,0.48045,0.51918,0.36658,1.19471,1.59102,1.37096,0.000195011,0.000195011,0.000195011
38,811.657,1.0634,1.41813,1.28734,0.46278,0.5054,0.49778,0.35212,1.19136,1.63194,1.36679,0.000192011,0.000192011,0.000192011
39,832.873,1.05779,1.39174,1.2919,0.47296,0.50899,0.49271,0.34181,1.19779,1.62946,1.38716,0.000189011,0.000189011,0.000189011
40,853.967,1.07151,1.39046,1.29483,0.49904,0.49852,0.4883,0.34218,1.2114,1.65847,1.38628,0.000186012,0.000186012,0.000186012
41,875.148,1.06313,1.36778,1.29167,0.50413,0.45957,0.49518,0.35018,1.20105,1.69787,1.38236,0.000183012,0.000183012,0.000183012
42,896.235,1.05733,1.36362,1.28529,0.57599,0.47477,0.519,0.36032,1.20006,1.58555,1.37246,0.000180012,0.000180012,0.000180012
43,917.343,1.05884,1.34469,1.28546,0.48647,0.45724,0.48969,0.34279,1.21812,1.65732,1.38165,0.000177013,0.000177013,0.000177013
44,938.367,1.05514,1.35784,1.28725,0.53998,0.4741,0.52003,0.36033,1.21607,1.57302,1.38546,0.000174013,0.000174013,0.000174013
45,959.444,1.04458,1.31955,1.27937,0.51749,0.46867,0.51626,0.36497,1.21851,1.58191,1.38631,0.000171013,0.000171013,0.000171013
46,980.58,1.05407,1.29819,1.26523,0.58256,0.47466,0.52719,0.36763,1.19,1.59942,1.37489,0.000168013,0.000168013,0.000168013
47,1001.65,1.06388,1.3057,1.27738,0.53648,0.49177,0.5294,0.37416,1.19854,1.62538,1.37275,0.000165014,0.000165014,0.000165014
48,1022.84,1.03868,1.23351,1.26123,0.44958,0.56126,0.52927,0.37705,1.19127,1.59518,1.36708,0.000162014,0.000162014,0.000162014
49,1043.97,1.04425,1.27842,1.2641,0.46401,0.55567,0.51485,0.36071,1.2007,1.58936,1.37062,0.000159014,0.000159014,0.000159014
50,1065.14,1.0261,1.24642,1.26777,0.50853,0.52142,0.53849,0.37648,1.20855,1.6041,1.38547,0.000156015,0.000156015,0.000156015
51,1086.29,1.0482,1.27361,1.274,0.55916,0.45459,0.52068,0.36533,1.19616,1.56654,1.38078,0.000153015,0.000153015,0.000153015
52,1107.39,1.00609,1.20815,1.25246,0.53153,0.51679,0.53471,0.3766,1.20927,1.5707,1.36405,0.000150015,0.000150015,0.000150015
53,1128.47,1.03131,1.21266,1.25291,0.45893,0.51175,0.49244,0.34799,1.20285,1.62414,1.37397,0.000147016,0.000147016,0.000147016
54,1149.62,1.00799,1.19918,1.25329,0.51697,0.50887,0.52277,0.37179,1.22291,1.61393,1.36614,0.000144016,0.000144016,0.000144016
55,1170.73,1.02696,1.19639,1.25472,0.55186,0.46552,0.5142,0.36239,1.20468,1.65997,1.36579,0.000141016,0.000141016,0.000141016
56,1191.84,1.01573,1.26292,1.25856,0.53322,0.4629,0.50745,0.36069,1.20417,1.64293,1.35905,0.000138016,0.000138016,0.000138016
57,1212.96,1.00559,1.17917,1.23765,0.5254,0.49334,0.51774,0.36933,1.19027,1.60024,1.36342,0.000135017,0.000135017,0.000135017
58,1233.99,1.00366,1.16489,1.23851,0.47113,0.52133,0.52961,0.37697,1.18458,1.54951,1.36354,0.000132017,0.000132017,0.000132017
59,1255.13,1.00351,1.1561,1.23503,0.59553,0.4755,0.53923,0.38318,1.20173,1.53397,1.36586,0.000129017,0.000129017,0.000129017
60,1276.26,1.00417,1.16768,1.23887,0.56177,0.46869,0.53084,0.37485,1.20463,1.61077,1.36226,0.000126018,0.000126018,0.000126018
61,1297.42,1.00084,1.16053,1.24891,0.55422,0.48687,0.52899,0.37692,1.20441,1.60292,1.37052,0.000123018,0.000123018,0.000123018
62,1318.42,0.99034,1.13941,1.23912,0.55905,0.50759,0.55256,0.38926,1.19912,1.5613,1.37672,0.000120018,0.000120018,0.000120018
63,1339.5,0.98552,1.12403,1.23536,0.53348,0.52854,0.55726,0.3967,1.19897,1.53247,1.37676,0.000117019,0.000117019,0.000117019
64,1360.63,0.99029,1.12761,1.23811,0.51471,0.53699,0.54655,0.38862,1.18483,1.57818,1.36641,0.000114019,0.000114019,0.000114019
65,1381.77,0.97144,1.07599,1.21315,0.51461,0.54726,0.55946,0.39688,1.1954,1.51789,1.37395,0.000111019,0.000111019,0.000111019
66,1402.95,0.98534,1.11369,1.23008,0.54171,0.5071,0.54565,0.38836,1.19239,1.5423,1.37161,0.000108019,0.000108019,0.000108019
67,1424.03,0.98953,1.08161,1.22154,0.59465,0.45875,0.53779,0.38606,1.18386,1.58517,1.36296,0.00010502,0.00010502,0.00010502
68,1445.14,0.96452,1.07877,1.22111,0.55416,0.48566,0.53256,0.38033,1.19463,1.57158,1.37809,0.00010202,0.00010202,0.00010202
69,1466.13,0.96698,1.08083,1.21633,0.56192,0.51873,0.54467,0.38498,1.19713,1.56952,1.37725,9.90204e-05,9.90204e-05,9.90204e-05
70,1487.19,0.97808,1.07485,1.21892,0.54117,0.52901,0.54724,0.39197,1.19832,1.56983,1.3739,9.60207e-05,9.60207e-05,9.60207e-05
71,1508.15,0.98148,1.05872,1.22614,0.56835,0.5159,0.5452,0.38901,1.19984,1.55355,1.36864,9.3021e-05,9.3021e-05,9.3021e-05
72,1529.22,0.96291,1.04864,1.22321,0.51895,0.51044,0.54249,0.38776,1.19166,1.59397,1.37501,9.00213e-05,9.00213e-05,9.00213e-05
73,1550.18,0.96251,1.0596,1.20553,0.55349,0.51978,0.55352,0.39029,1.2158,1.57546,1.39162,8.70216e-05,8.70216e-05,8.70216e-05
74,1571.27,0.97939,1.05053,1.21913,0.56923,0.48967,0.54672,0.39184,1.21135,1.56525,1.38851,8.40219e-05,8.40219e-05,8.40219e-05
75,1592.33,0.94524,1.02993,1.20358,0.58419,0.47729,0.55557,0.39269,1.2062,1.56525,1.385,8.10222e-05,8.10222e-05,8.10222e-05
76,1613.34,0.95284,1.0391,1.21732,0.5499,0.51762,0.54676,0.38904,1.21473,1.56661,1.38673,7.80225e-05,7.80225e-05,7.80225e-05
77,1634.38,0.95552,1.02319,1.21507,0.57459,0.49454,0.53723,0.3814,1.21428,1.59929,1.39005,7.50228e-05,7.50228e-05,7.50228e-05
78,1655.36,0.95615,1.06006,1.2139,0.62577,0.48953,0.55405,0.39314,1.19995,1.53075,1.37705,7.20231e-05,7.20231e-05,7.20231e-05
79,1676.39,0.94025,1.01251,1.20347,0.57992,0.4859,0.55054,0.38933,1.19887,1.55062,1.38112,6.90234e-05,6.90234e-05,6.90234e-05
80,1697.4,0.94757,1.02162,1.2022,0.58302,0.4887,0.55172,0.39093,1.21601,1.54264,1.3884,6.60237e-05,6.60237e-05,6.60237e-05
81,1718.47,0.93412,1.01112,1.19494,0.51323,0.55253,0.55617,0.39565,1.20724,1.55503,1.38455,6.3024e-05,6.3024e-05,6.3024e-05
82,1739.49,0.94897,1.00367,1.20247,0.55999,0.49696,0.55091,0.3899,1.21912,1.5646,1.39664,6.00243e-05,6.00243e-05,6.00243e-05
83,1760.49,0.94091,0.99835,1.19452,0.54429,0.55172,0.55495,0.39487,1.20125,1.56121,1.38363,5.70246e-05,5.70246e-05,5.70246e-05
84,1781.55,0.95879,1.02642,1.21021,0.55337,0.50788,0.55356,0.3898,1.20966,1.5938,1.38813,5.40249e-05,5.40249e-05,5.40249e-05
85,1802.56,0.93097,0.99181,1.19718,0.54349,0.52569,0.55292,0.39337,1.20987,1.57113,1.38059,5.10252e-05,5.10252e-05,5.10252e-05
86,1823.61,0.9368,0.99764,1.20043,0.62771,0.46384,0.55648,0.39749,1.2025,1.5958,1.38055,4.80255e-05,4.80255e-05,4.80255e-05
87,1844.64,0.91974,0.97384,1.19655,0.54184,0.53549,0.56092,0.39629,1.21433,1.57307,1.3833,4.50258e-05,4.50258e-05,4.50258e-05
88,1865.73,0.93222,0.97578,1.19395,0.53523,0.53881,0.55391,0.39671,1.20029,1.56074,1.38179,4.20261e-05,4.20261e-05,4.20261e-05
89,1886.73,0.93382,0.9862,1.19504,0.57807,0.49476,0.54772,0.38817,1.21766,1.56702,1.39151,3.90264e-05,3.90264e-05,3.90264e-05
90,1907.81,0.93375,0.95776,1.19702,0.53746,0.52427,0.5586,0.40024,1.21187,1.57623,1.38814,3.60267e-05,3.60267e-05,3.60267e-05
91,1929.93,0.87948,0.8932,1.17076,0.54118,0.51246,0.55637,0.39627,1.20487,1.55688,1.38493,3.3027e-05,3.3027e-05,3.3027e-05
92,1950.96,0.86254,0.84682,1.16012,0.48362,0.55614,0.54486,0.38388,1.20938,1.59583,1.38253,3.00273e-05,3.00273e-05,3.00273e-05
93,1971.87,0.85857,0.81329,1.16002,0.55003,0.50435,0.5472,0.38845,1.20194,1.60869,1.37437,2.70276e-05,2.70276e-05,2.70276e-05
94,1992.72,0.85009,0.80781,1.15846,0.60108,0.48533,0.55151,0.39278,1.20094,1.58817,1.37065,2.40279e-05,2.40279e-05,2.40279e-05
95,2013.7,0.85237,0.81609,1.16004,0.55818,0.51275,0.55196,0.39142,1.2048,1.58251,1.37727,2.10282e-05,2.10282e-05,2.10282e-05
96,2034.53,0.83644,0.779,1.14109,0.5779,0.50959,0.54991,0.39176,1.20132,1.60095,1.37276,1.80285e-05,1.80285e-05,1.80285e-05
97,2055.42,0.83437,0.78581,1.14413,0.589,0.49622,0.5474,0.38726,1.20677,1.60001,1.38048,1.50288e-05,1.50288e-05,1.50288e-05
98,2076.26,0.83475,0.78416,1.1474,0.59139,0.49736,0.54833,0.38992,1.20859,1.59824,1.38238,1.20291e-05,1.20291e-05,1.20291e-05
99,2097.16,0.83454,0.77523,1.14757,0.56014,0.50823,0.5467,0.38648,1.20744,1.59938,1.38133,9.0294e-06,9.0294e-06,9.0294e-06
100,2118.08,0.81838,0.76063,1.13649,0.59442,0.48487,0.55038,0.39119,1.2084,1.59646,1.37881,6.0297e-06,6.0297e-06,6.0297e-06
